Word,Count
called,40
It,40
year,40
MERCHANTABILITY,40
check,40
FIXME:,40
start,40
save,40
int,39
icon,39
constructor,39
make,39
don't,39
old,39
Set,39
using,38
controller,38
Creates,38
source,38
==,38
number,38
To,38
state,37
before,37
whether,37
instead,37
true,36
(PN),36
Is,36
doesn't,36
HTML,36
private,36
because,35
values,35
type,35
$NON-NLS-1$,35
like,35
Java,35
month,35
\java.lang.String,\,35
plugin,34
may,34
target,34
need,34
false,34
contains,34
work,33
maximum,33
than,33
dialog,33
case,33
size,33
files,33
0,33
methods,33
elements,33
want,33
dpolivaev,33
store,32
changed,32
code,32
Use,32
null),32
reader,32
so,32
nothing,31
some,31
button,31
We,31
empty,31
out,31
selection,31
mode,31
between,31
they,30
generated,30
been,30
For,30
following,30
find,30
width,30
next,30
removed,30
identifier,30
actions,30
line,30
resource,30
time,30
\here,\,30
input,30
found,30
up,29
focus,29
point,29
model,29
me,29
characters,29
bug,28
search,28
<dt><b>Postconditions:</b></dt>,28
go,28
clone,28
locale,28
open,28
font,28
initializes,27
listener,27
visible,27
component,27
static,27
background,27
try,27
color,27
window,27
names,27
object,27
into,27
saved,27
too,27
read,27
returned,27
mouse,27
Get,26
double),26
id,26
changes,26
field,26
present,26
\null,\,26
Value,26
edit,26
test,26
otherwise,26
now,25
Comments,25
array,25
tag,25
Generation&gt;Code,25
different,25
template,25
Node,25
\String,\,25
\java.util.Hashtable,\,25
Window&gt;Preferences&gt;Java&gt;Code,25
base,24
filter,24
selectable,24
\node,\,24
properties,24
pattern,24
ask,24
view,24
keys,24
itself,24
Update,24
every,23
attributes,23
update,23
->,23
path,23
folded,23
MindMapNode,23
where,23
would,23
<li>The,22
instance,22
In,22
@deprecated,22
relative,22
page,22
2000-2011,22
directory,22
again,22
panel,22
such,21
format,21
level,21
created,21
another,21
hooks,21
script,21
double,21
minimum,21
see,21
vector,21
else,21
<li><code>name,21
while,21
just,21
Windows,21
each,20
message,20
URL,20
part,20
table,20
\int,\,20
spinner,20
\Hashtable,\,20
\"\,\,20
order,20
original,20
shift,20
decoration,20
<christianfoltin@users.sourceforge.net>,20
give,20
directly,19
\exist,\,19
enabled,19
handling,19
select,19
both,19
undo,19
single,19
listeners,19
<,19
:,19
belongs,19
title,19
java.lang.Object),19
xml,19
paste,19
opened,19
stored,18
maps,18
those,18
IOException,18
buttons,18
result,18
java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent,18
software,18
entity,18
2000-2005,18
writer,18
needed,18
JCalendar,18
extension,18
2000-2007,18
links,18
@version,18
output,18
i,18
left,18
item,18
dimitri,18
<li>the,18
strings,18
\0,\,18
<li><code>name</code>,18
scroll,18
represents,18
until,17
freemind.main.XMLElement#enumerateAttributeNames(),17
index,17
send,17
block,17
zoom,17
currently,17
@since,17
layout,17
final,17
interface,17
Adds,17
calendar,17
correct,17
fix,17
command,17
Logging:,17
Exception,17
register,17
two,17
tags,17
display,17
s,17
own,17
cannot,17
around,17
url,17
foreground,17
cursor,17
catch,16
18.06.2005,16
2006,16
status,16
<code>true</code>,16
logger,16
column,16
right,16
html,16
screen,16
via,16
editing,16
Object),16
able,16
special,16
\now,\,16
\false,\,16
pane,16
style,16
But,16
jEdit,16
corresponding,16
folding,16
very,16
inside,16
chooser,16
them,16
enable,16
also,16
image,16
show,16
least,16
description,15
points,15
bar,15
2000-2012,15
25.02.2006,15
2000-2008,15
/*,15
1.1.2.1,15
XMLElement,15
Color,15
above,15
Lesser,15
/,15
occured,15
sure,15
commands,15
parse,15
sibling,15
weeks,15
closed,15
bytes,15
done,15
e),15
take,15
e,14
0</code>,14
present:,14
As,14
icons,14
<p>,14
assign,14
sorting,14
pressed,14
complete,14
know,14
lock,14
put,14
determine,14
possible,14
better,14
Add,14
hack,14
something,14
chosen,14
could,14
back,14
avoid,14
setting,14
about,14
associated,14
XHTML,14
29.01.2006,14
y,14
alt,14
ok,14
location,14
Constructors,14
needs,13
javax.swing.Action),13
patterns,13
previous,13
NodeView,13
modifier,13
comment,13
UI,13
plain,13
enumeration,13
move,13
standard,13
0;,13
including,13
Actions,13
close,13
plugins,13
really,13
server,13
When,13
Removes,13
\Thus,\,13
2004,13
creation,13
Vector,13
how,13
ElementTypes,13
node:,13
OR,13
unicode,13
look,13
gets,12
registration,12
arrow,12
null;,12
local,12
missing,12
problem,12
starts,12
freemind.modes.Mode),12
freemind.controller.MapModuleManager.MapModuleChangeObserver#,12
wrong,12
events,12
available,12
sent,12
shortcut,12
stop,12
startup,12
share,12
retrieve,12
main,12
popup,12
saving,12
replace,12
1,12
On,12
ignored,12
displayed,12
moved,12
Library,12
deleted,12
Change,12
process,12
java,12
MindMap,12
being,12
updated,12
^,12
load,12
Map,12
mind,12
parsing,11
works,11
insert,11
max,11
rather,11
Gets,11
tab,11
their,11
*/,11
Make,11
looking,11
initial,11
mapping,11
implementation,11
\case,\,11
\<String,\,11
what,11
bad,11
File,11
\Moreover,\,11
true;,11
\,\,11
2003,11
java.lang.String),11
taken,11
1.1.2.2,11
second,11
\freemind.main.XMLElement#setAttribute(java.lang.String,\,11
normal,11
through,11
\setAttribute(String,\,11
Not,11
sharing,11
encrypted,11
absolute,11
necessary,11
\method,\,11
click,11
controls.add(new,11
preferred,11
classes,11
sort,10
\getStringAttribute(String,\,10
delete,10
written,10
boolean,10
handler,10
cells,10
\getAttribute(String,\,10
well,10
Dialog,10
depth,10
\freemind.main.XMLElement#getDoubleAttribute(java.lang.String,\,10
PCDATA,10
.MindMapNode),10
\System.out.println("\set\,10
\Ave,\,10
<li><code>offset,10
application,10
\getDoubleAttribute(String,\,10
border,10
adapted,10
down,10
Private,10
\Polivaev,\,10
\freemind.main.XMLElement#getIntAttribute(java.lang.String,\,10
during,10
log,10
equal,10
\02139,\,10
\Cambridge,\,10
range,10
it's,10
most,10
loaded,10
yPad,10
zero,10
25.08.2004,10
String>,10
thread,10
dirty,10
these,10
representation,10
\used,\,10
browser,10
Mac,10
everything,10
\freemind.main.XMLElement#getStringAttribute(java.lang.String,\,10
real,10
\getIntAttribute(String,\,10
String),10
>,10
workaround,10
freemind.main.XMLElement#removeAttribute(java.lang.String),10
\freemind.main.XMLElement#getAttribute(java.lang.String,\,10
cols,10
Mass,10
always,10
windows,10
height,10
pNode,10
removeAttribute(String),10
example,10
notes,10
XMLParseException,10
added,10
my,10
row,10
<P>,10
still,10
675,10
<code>valueSet</code>,9
automatically,9
GUI,9
scanned,9
password,9
Reads,9
below,9
\present,\,9
\rows,\,9
existing,9
editor,9
encoding,9
Dimitry,9
over,9
getting,9
navigation,9
Return,9
parents,9
provided,9
..,9
allow,9
freemind.controller.actions.ActorXml#act(freemind.controller.actions,9
hashtable,9
iff,9
actually,9
spaces,9
components,9
Contains,9
shall,9
&lt;,9
\freemind.view.MapModule,\,9
Dimitry:,9
long,9
freemind.extensions.NodeHookAdapter#invoke(freemind.modes.MindMapNode),9
panel:,9
items,9
generated.instance.XmlAction),9
Example:,9
\freemind.modes.Mode,\,9
{@code,9
due,9
handles,9
cloning,9
choosing,9
\called,\,9
<dt><b>Invariants:</b></dt>,9
document,9
(and,9
nodes:,9
pair,9
multiple,9
OF,9
Toedter,9
Call,9
module,9
whitespace,9
freemind.controller.actions.ActorXml#getDoActionClass(),9
context,9
c,9
XHTMLWriter,9
never,9
means,9
chars,9
receiver,9
purpose,9
All,9
Remove,9
\first,\,9
encoded,9
<code>null</code>,9
implement,9
\only,\,9
&&,9
map:,9
starting,9
specific,9
Kai,9
rows,9
keystroke,9
direct,9
Edge,9
Key,9
wait,9
port,9
05.05.2004,9
(as,9
(eg,9
1.0,8
Kaiser,8
perform,8
Preview,8
<li>getLineNr(),8
goes,8
etc.),8
28.12.2008,8
restore,8
objects,8
Writer,8
****************************************************************,8
drag,8
Each,8
exists,8
<li>enumerateChildren(),8
extra,8
printing,8
\1,\,8
direction,8
specified,8
\example,\,8
showing,8
parameters,8
graphical,8
\xPad,\,8
cp,8
Source,8
(in,8
provide,8
xslt,8
Determine,8
entities,8
running,8
good,8
tested,8
(like,8
hide,8
Jens,8
\"\."\\,8
import,8
Do,8
iterative,8
keep,8
useful,8
calculate,8
positions,8
10.07.2005,8
&,8
<li>getChildren(),8
security,8
reflect,8
<li>countChildren(),8
registered,8
JDayChooser,8
operation,8
pName,8
shown,8
javax.swing.JButton,8
\selected,\,8
etc,8
\initX,\,8
initialize,8
destination,8
messages,8
char,8
0),8
Take,8
label,8
fc,8
temporary,8
x,8
bound,8
applied,8
focused,8
issued,8
|,8
String[],8
prefix,8
e.g,8
care,8
implemented,8
Process,8
Need,8
way,8
12.07.2005,8
construct,8
yet,8
collect,8
-1,8
Class,8
bean,8
it:,8
Only,8
parses,8
language,8
(or,8
thus,8
parsed,8
argument,8
\"\"\\,8
probably,8
split,8
initY,8
painted,8
testing,8
\boolean,\,7
BOM,7
success,7
known,7
java.util.logging.Logger,7
formats,7
symbol,7
whole,7
append,7
compound,7
access,7
grid,7
Guaranteed,7
indicate,7
||,7
java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent),7
interested,7
removing,7
\freemind.main.XMLElement#setDoubleAttribute(java.lang.String,\,7
dont,7
escape,7
amount,7
causes,7
occur,7
Here,7
place,7
seems,7
reading,7
Does,7
non-null,7
\found,\,7
Constructor,7
(if,7
instanciated,7
why,7
Don't,7
conditions,7
JSpinField,7
Method,7
conversion,7
Changes,7
stroke,7
java.awt.event.MouseListener#mouseExited(java.awt.event.MouseEvent),7
Slava,7
invalid,7
Pestov,7
unfolded,7
scan,7
parameter,7
\setDoubleAttribute(String,\,7
based,7
\Here,\,7
Lazily,7
\children,\,7
active,7
reference,7
accepted,7
can't,7
box,7
hidden,7
One,7
2000-2013,7
note,7
node),7
successful,7
isn't,7
2006/07/25,7
Determines,7
\freemind.main.XMLElement#setIntAttribute(java.lang.String,\,7
event:,7
left/right,7
Menu,7
notifying,7
executed,7
};,7
derived,7
information,7
menus,7
Revision,7
return;,7
accept,7
inform,7
uses,7
<li><code>result,7
Components:,7
\necessary,\,7
Freemind,7
variable,7
function,7
except,7
frame,7
things,7
file:,7
days,7
anyway,7
subject,7
problems,7
writing,7
1.4,7
(this,7
08.05.2005,7
Jabber,7
tell,7
3,7
actions:,7
center,7
handle,7
java.awt.event.MouseListener#mouseEntered(java.awt.event.MouseEvent),7
contents,7
disable,7
\root,\,7
recursive,7
tooltip,7
Default,7
|=,7
having,7
\setIntAttribute(String,\,7
\ok,\,7
**********************************************************************,7
TransformerFactory,7
side,7
pasted,7
\check,\,7
jar,6
Open,6
\this,\,6
inserted,6
Sunday,6
cloud,6
whenever,6
MindMapController,6
StructuredMenuHolder),6
passed,6
We're,6
week,6
dir,6
freemind.controller.filter.condition.Condition#checkNode(freemind.modes,6
protocol,6
After,6
dragged,6
appended,6
\it,\,6
preferences,6
containing,6
timer,6
\nodes,\,6
according,6
MapView,6
placed,6
17.05.2005,6
skip,6
queue,6
package,6
24.07.2005,6
XSLT,6
recursively,6
---,6
*****************************************************************,6
client,6
expected,6
basic,6
Display,6
additional,6
leading,6
toolbar,6
determined,6
Implement,6
:),6
readable,6
\"\+\,6
<li>getName(),6
clear,6
extend,6
major,6
JMonthChooser,6
canceled,6
HTMLDocument,6
An,6
java.awt.event.MouseListener#mousePressed(java.awt.event.MouseEvent),6
(ie,6
exist,6
orientation,6
arguments,6
per,6
arrowLink,6
coordinates,6
05.05.2005,6
made,6
replaced,6
deep,6
25.1.2004:,6
Used,6
4.2pre3,6
result:,6
Called,6
copied,6
addAction(Action,6
opening,6
StringProperty(,6
(int,6
list:,6
dst,6
connection,6
Other,6
05.06.2005,6
<code>string</code>,6
transfer,6
columns,6
modifies,6
overwrite,6
title:,6
throw,6
mechanism,6
system,6
found:,6
List,6
closing,6
base64,6
Ask,6
behaviour,6
java.awt.event.MouseListener#mouseReleased(java.awt.event.MouseEvent),6
pTileSource,6
(see,6
focussed,6
preferences:,6
Window,6
<li>enumeratePropertyNames(),6
Swing,6
\file,\,6
\too,\,6
modes,6
collection,6
binding,6
Linux,6
Methods,6
extends,6
keyboard,6
\means,\,6
hold,6
defined,6
master,6
Retrieve,6
weekday,6
modal,6
several,6
Controller,6
registry,6
Write,6
within,6
They,6
Start,6
MindMapNodes,6
value:,6
tree,6
08.10.2004,6
calculated,6
Bug,6
<li>getContent(),6
ancestor,6
node);,6
deregister,6
\change,\,6
independent,6
marker,6
performance,6
common,6
filename,6
moving,6
required,6
removes,6
\"\Close"\\,6
print,6
locking,6
\Normally,\,6
&gt;,6
resources,5
\result,\,5
pattern:,5
settings,5
processed,5
convert,5
$Revision:,5
Calling,5
output:,5
First,5
TableSorter,5
shared,5
instances,5
factory,5
\System.out.println("\make\,5
(then,5
selectedNodes,5
1),5
Undo-action,5
nodeStyle,5
makes,5
getAttribute(String),5
library,5
constant,5
applying,5
getIntAttribute(String),5
2007/04/21,5
2008/01/13,5
2006),5
NanoXML,5
2007/08/05,5
$LastChangedRevision:,5
<li><code>string,5
adding,5
freemind.main.XMLElement#getAttribute(java.lang.String),5
2000-2009,5
who,5
anymore,5
\(fc,\,5
20:28:20,5
break,5
Decode,5
refreshed,5
notification,5
edge,5
lines,5
28.03.2004,5
AWT,5
apply,5
edgeWidth,5
Attributes,5
(which,5
cache,5
export,5
clouds,5
freemind.main.XMLElement#getIntAttribute(java.lang.String),5
Possible,5
p1,5
maybe,5
--,5
filters,5
ids,5
getWidth();,5
fill,5
30.6.2005,5
form,5
cur;,5
\model,\,5
actual,5
\instance"\);\,5
&gt;=,5
fix:,5
trailing,5
hand,5
documentation,5
08.10.2005,5
corrected,5
general,5
strange,5
ID,5
scanning,5
implements,5
PermanentNodeHook,5
internal,5
depending,5
trigger,5
(String),5
executable,5
values:,5
release,5
getDoubleAttribute(String),5
Scans,5
pass,5
);,5
cut,5
I'm,5
jump,5
padding,5
belonging,5
true),5
literal,5
getStringAttribute(String),5
Case,5
sequence,5
representatives,5
shortcuts,5
pString,5
classpath,5
less,5
NULL,5
holds,5
Maybe,5
let,5
$LastChangedDate:,5
kai@toedter.com,5
1.16.10.1,5
isRoot,5
versions,5
hooks:,5
disk,5
edgeStyle,5
JMenuItem,5
pPosition,5
\thus,\,5
byte,5
creates,5
leaf,5
t,5
<code>defaultValue</code>,5
(Iterator,5
simply,5
02.05.2004,5
contain,5
\java.lang.Object,\,5
included,5
think,5
further,5
****,5
build,5
combo,5
human,5
\fix,\,5
Sends,5
positions:,5
N,5
container,5
\xsl"\);\,5
freemind.main.XMLElement#getStringAttribute(java.lang.String),5
Thomas,5
represented,5
True,5
users,5
transform,5
\System.err.println("\error\,5
cause,5
space,5
isLeft,5
MindIcon,5
modeController,5
X,5
v,5
indices,5
best,5
far,5
support,5
Action,5
pasting,5
browser:,5
05.10.2004,5
coordinate,5
Interface,5
edgeColor,5
writes,5
working,5
am,5
Select,5
dependent,5
identical,5
\"\+e);\,5
\However,\,5
\pasted,\,5
prevent,5
Since,5
\lazy,\,5
spin,5
B,5
functionality,5
<DL>,5
JFrame,5
shows,5
successfully,5
four,5
endif,5
password:,5
.mm,5
\link,\,5
doc,5
action),5
members,5
'/',5
perhaps,5
</DL>,5
www.toedter.com,5
stream,5
none,5
papers,5
buffer,5
sometimes,5
first:,5
Tree,5
action:,5
\.JMenuItem,\,5
get/set,5
+0200,5
cancel,5
exactly,5
Put,5
XMLElement();,5
manager,5
Insert,5
>=,5
freemind.main.XMLElement#getDoubleAttribute(java.lang.String),5
somebody,5
adjust,5
<DD>,5
override,5
Converts,5
requests,5
were,5
big,5
Main,5
Classes,5
remains,5
Mode,5
unknown,5
reverse,5
went,5
\exists,\,5
RReppel,5
(),5
defaultValue,5
Right,5
Search,4
sources,4
assure,4
levels,4
<code>new,4
\2,\,4
nodeColor,4
\text,\,4
mindmap,4
unblock,4
ResourceBundle,4
...,4
marked,4
translation,4
javax.swing.table.TableModel#getColumnCount(),4
understand,4
Either,4
freemind.main.Resources.getInstance().logException(e);,4
translate,4
Peter,4
javax.swing.table.TableModel#getRowCount(),4
jButton1,4
A+,4
colors,4
getColor();,4
coding,4
\1.0,\,4
freemind.main.XMLElement#removeChild(XMLElement),4
\<code>"\one"\\,4
unless,4
19:31:21,4
**************************************************************************,4
intersection,4
results,4
SPACE,4
Keep,4
line;,4
afterwards,4
b,4
paper,4
+=,4
commented,4
scripts,4
compatible,4
});,4
three,4
\javax.swing.table.TableModel#getValueAt(int,\,4
\"\Back"\\,4
09.11.2005,4
freemind.main.XMLElement#XMLElement(java.util.Hashtable),4
XMLElement(Hashtable),4
iterator,4
modelpopups,4
javax.swing.JPasswordField,4
Jan,4
Events,4
GridBagConstraints.SOUTHEAST;,4
dateFormatSymbols.getShortWeekdays(),4
Focus,4
out:,4
600,4
bit,4
RegistrationContainer,4
anything,4
fm_060405_integration,4
ChildrenStylePattern,4
monthSpinner,4
numbers,4
bold,4
symbolic,4
trouble,4
valueSet,4
freemind.modes.ModeController#updateMenus(freemind.controller,4
choose,4
freemind.extensions.NodeHook#invoke(freemind.modes.MindMapNode),4
\defaultKey,\,4
\one,\,4
15.05.2005,4
There,4
by:,4
registration:,4
O.K,4
task,4
(case,4
\"\true"\\,4
invocation:,4
</code>,4
HookRegistration,4
<li>enumerateAttributeNames(),4
Note,4
Look,4
requested,4
getStroke();,4
address,4
bindings,4
change:,4
<jens.kaiser@web.de>,4
(day,4
decorationBackgroundColor,4
guarantee,4
end</code>,4
false;,4
THIS,4
tried,4
pMindMapController,4
min,4
getStringAttribute},4
short,4
19:37:23,4
\Currently,\,4
Draw,4
i++),4
Rights,4
specifying,4
Translate,4
granted,4
Workaround,4
Indicates,4
//////////////////////////////////////////////////////////////////////////////////////,4
calls,4
detect,4
sense,4
addChild(XMLElement),4
feature,4
name:,4
sundayForeground,4
stores,4
Stotz,4
automatic,4
jButton,4
WWW,4
<li>,4
identify,4
draw,4
controller:,4
blocks,4
MouseMotionListener,4
clones,4
freemind.main.XMLElement#XMLElement(boolean),4
00,4
freemind.main.XMLElement#addChild(XMLElement),4
performs,4
\freemind.extensions.NodeHook#invoke(freemind.modes.MindMapNode,\,4
minimal,4
us,4
$Name:,4
modules,4
much,4
n-th,4
selecteds,4
treated,4
\changed,\,4
freemind.main.XMLElement#countChildren(),4
indicates,4
bigger,4
java.util.List),4
let's,4
remember,4
structure,4
Pressed,4
\nice,\,4
\hooks,\,4
sets,4
\XMLElement(Hashtable,\,4
17.5.06:,4
jContentPane,4
FIXME,4
example:,4
Of,4
run,4
MapNodePositionHolder,4
Check,4
plugins.collaboration.socket.SocketBasics#shutdown(),4
user's,4
provides,4
\"\{0}"\\,4
overwritten,4
performed,4
Valid,4
\color,\,4
certain,4
convenience,4
Hashtable,4
id:,4
mark,4
method:,4
java.io.IOException,4
construction,4
Tell,4
Marc,4
getStyle();,4
weeks),4
InterruptedException,4
\empty,\,4
freemind.main.XMLElement#getChildren(),4
gbc.anchor,4
mac,4
listeners:,4
\character,\,4
2009/03/29,4
simple,4
correctly,4
safe,4
\"\Next"\\,4
Send,4
So,4
properly,4
his,4
Written,4
freemind.extensions.PermanentNodeHook#saveHtml(java.io.Writer),4
utf-8,4
removeChild(XMLElement),4
script:,4
false)</code>,4
2008/05/26,4
29.10.2003,4
virtual,4
count,4
len,4
answer,4
against,4
S,4
former,4
option,4
freemind.modes.attributes.AttributeRegistry.Visitor#visit(freemind,4
Stores,4
Applications,4
.modes.attributes.ConcreteAttributeTableModel),4
Stream,4
coming,4
obtain,4
yearChooser,4
**,4
Which,4
\controller,\,4
systems,4
here:,4
Export,4
\mapping,\,4
abstract,4
since,4
ArrayList,4
panes,4
Unix,4
among,4
undoable,4
.view.mindmapview.NodeView),4
quite,4
beginning,4
located,4
07.05.2005,4
<li><code>entities,4
ensure,4
produce,4
///////////////////////////////////////////////////////////,4
difference,4
freemind,4
\listener,\,4
front,4
javax.swing.JPanel,4
titles,4
react,4
it.hasNext();),4
cvt,4
defaultKey,4
\notes,\,4
#PCDATA,4
begin,4
urls,4
won't,4
proper,4
:-),4
request,4
Overwrite,4
allowed,4
explicitly,4
length,4
\map,\,4
style;,4
OK,4
small,4
TO,4
ENTER,4
difficult,4
THE,4
translated,4
12.10.2004,4
javax.swing.filechooser.FileFilter#getDescription(),4
KeyListener,4
++i),4
\time,\,4
Reserved,4
31.10.2005,4
comes,4
updates,4
alter,4
Object,4
:tabSize=8:indentSize=8:noTabs=false:,4
\"\Shred"\\,4
:folding=explicit:collapseFolds=1:,4
sorted,4
modifier(s),4
Enable,4
clause,4
null},4
read-only,4
had,4
to:,4
MindMapNodeModel,4
g2.setColor(new,4
invisible,4
Initialize,4
happen,4
overwriting,4
initialized,4
activated,4
speed,4
ctrl,4
off,4
(updates,4
network,4
Imports,4
toString();,4
parts,4
shutdown,4
\result"\);\,4
\given,\,4
might,4
curve,4
<li><code>end,4
images,4
doing,4
source:,4
unfold,4
\<code>null</code>,\,4
&lt;=,4
Navigation,4
06.05.2005,4
branch,4
De,4
Convenience,4
OS,4
FE,4
old.enumerateChildren(),4
hit,4
\{NOT_SORTED,\,4
2009/02/04,4
BeanShell,4
freemind.main.XMLElement#XMLElement(),4
\"\="\\,4
old.enumerateAttributeNames(),4
Makes,4
links),4
question,4
weekOfYearVisible,4
home,4
06.03.2004,4
shut,4
weekdayForeground,4
Stroke,4
equivalent,4
ignore,4
\end,\,4
actionPerformed(ActionEvent,4
it.next();,4
handled,4
1.1.4.1.16.1,4
11,4
Richard,4
Save,4
binary,4
(See,4
lost,4
distance,4
drop,4
FF,4
generate,4
retValue,4
inner,4
our,4
freemind.main.XMLElement#enumerateChildren(),4
meta,4
\hook,\,4
(isFolded()),4
Some,4
area,4
horizontal,4
\mnemo,\,4
newNode,4
\freemind.main.XMLElement#XMLElement(java.util.Hashtable,boolean)\,4
dayChooser,4
29.09.2004,4
\set,\,4
thrown,4
record,4
future,4
lifetime,3
19.04.2004,3
entire,3
web,3
20:55:34,3
F,3
hidden),3
contained,3
Polansky,3
reasons,3
getController().getMap().getRoot();,3
\move,\,3
@package,3
\"\The\,3
-1),3
F8,3
Try,3
subclassing,3
goto,3
restriction,3
\and,\,3
Jun,3
19.09.2004,3
<br>,3
freemind.modes.MindMap#getFilteredXml(java.io.Writer),3
getSelecteds().listIterator();it.hasNext();),3
fire,3
NodeAdapter,3
26.11.2003,3
linked,3
\target,\,3
pluginBase,3
\encrypted,\,3
./doc/freemind.mm,3
event.ListSelectionEvent),3
\Transitional//EN\"\\,3
sviles,3
JabberListener,3
Refactoring,3
2006/03/14,3
notes:,3
<filename>_files,3
(the,3
newbies,3
ModeController,3
isAccessible,3
failed,3
resources:,3
API,3
4,3
ponder,3
linux,3
boundaries,3
collaboration,3
Ignore,3
operating,3
\#getIntAttribute(java.lang.String,\,3
/////////,3
Initializes,3
160));,3
fine,3
guess,3
\Now,\,3
System.out.println(sb.toString(),3
childs,3
expect,3
\'"\'\,3
progress,3
didn't,3
\occurred,\,3
Hides,3
greater,3
history,3
\to,\,3
begins,3
confusing,3
\"\JPEG\,3
3.2pre4,3
enough,3
occurred,3
header,3
freemind.jar,3
Changed,3
\name,\,3
29.02.2004,3
pos,3
selection:,3
2003/11/03,3
modified,3
parameter:,3
paramChild,3
<li>{@link,3
plugin:,3
\yes,\,3
\enabled,\,3
user:,3
Editor,3
integer,3
2006/01/12,3
parent),3
\closed,\,3
\"\File->Share"\\,3
typically,3
2008/06/09,3
receives,3
Store,3
freemind.extensions.PermanentNodeHook#onUpdateChildrenHook(freemind.modes,3
copy:,3
cookies,3
Replace,3
selected:,3
\bug,\,3
Invoked,3
plugins.collaboration.socket.SocketBasics#lock(),3
pPlace,3
solve,3
position:,3
2007,3
AS,3
separated,3
smaller,3
}));,3
\changes,\,3
\freemind.modes.ModeController.NodeSelectionListener#onSelectionChange(freemind.modes.MindMapNode,\,3
L,3
Inc,3
freemind.view.mindmapview.NodeView#getStyle(),3
descendants,3
\"\);\,3
listenerList,3
is:,3
plugins.collaboration.socket.SocketBasics#unlock(),3
.TreeModelEvent),3
assert,3
listener:,3
emulate,3
\public,\,3
depends,3
;-),3
Properties,3
save(),3
ie,3
1.1.2.5,3
\action,\,3
Must,3
gather,3
unchanged,3
restored,3
(c),3
25.04.2012,3
Convert,3
ListIterator,3
accessible,3
lowercase,3
pMapDialog,3
freemind.controller.MenuItemEnabledListener#isEnabled(javax.swing.JMenuItem,3
connected,3
toggle,3
splash,3
Otherwise,3
\Only,\,3
derives,3
Should,3
modification,3
eg,3
\problem,\,3
End,3
1;,3
full,3
follow,3
away,3
zoomFactor);,3
<li><code>lineNr,3
resize,3
calculation,3
freemind.extensions.PermanentNodeHook#filterAction(freemind.modes.mindmapmode.actions.xml.ActionPair),3
1.1,3
pairs,3
fc:,3
pSearchString,3
denotes,3
Precondition:,3
for(ListIterator,3
img,3
flag,3
catch(Exception,3
(maybe,3
15.07.2004,3
\version=\"\1.0\"\\,3
(means:,3
sons,3
Enumerates,3
COPY,3
invitation,3
